"","SrcID","cultivar_notes"
"1000",226796,""
"1001",107430,""
"1002",107331,""
"1003",59644,""
"1004",222803,""
"1005",207186,""
"1006",210741,""
"1007",241283,""
"1008",70956,""
"1009",97200,""
"1010",192492,""
"1011",117220,""
"1012",117218,""
"1013",95337,""
"1014",17386,""
"1015",47916,""
"1016",62131,""
"1017",102454,""
"1018",40997,""
"1019",200786,""
"1020",229920,""
"1021",103287,""
"1022",4808,""
"1023",29421,""
"1024",14603,""
"1025",95252,""
"1026",83328,""
"1027",81728,""
"1028",90717,""
"1029",4884,""
"1030",5072,""
"1031",100449,""
"1032",43565,""
"1033",45686,""
"1034",32676,""
"1035",11014,""
"1036",99208,""
"1037",70782,""
"1038",36653,""
"1039",83554,""
"1040",61205,""
"1041",40035,""
"1042",16202,""
"1043",41657,""
"1044",28668,""
"1045",49094,""
"1046",62463,""
"1047",92724,""
"1048",14438,""
"1049",39638,""
"1050",85960,""
"1051",86136,""
"1052",10318,""
"1053",103935,""
"1054",59282,""
"1055",35639,""
"1056",77918,""
"1057",59318,""
"1058",8993,""
"1059",7891,""
"1060",34549,""
"1061",43472,""
"1062",53972,""
"1063",53952,""
"1064",95202,""
"1065",110712,""
"1066",112566,""
"1067",111232,""
"1068",136149,""
"1069",224769,""
"1070",224772,""
"1071",234886,""
"1072",225246,""
"1073",206701,""
"1074",207187,""
"1075",207188,""
"1076",207185,""
"1077",207182,""
"1078",207183,""
"1079",226237,""
"1080",224468,""
"1081",233806,""
"1082",203982,""
"1083",222798,""
"1084",224880,""
"1085",209916,""
"1086",210161,""
"1087",218874,""
"1088",210676,""
"1089",225272,""
"1090",225273,""
"1091",210743,""
"1092",210742,""
"1093",210699,""
"1094",204108,""
"1095",204109,""
"1096",240106,""
"1097",222544,""
"1098",222545,""
"1099",222543,""
"1100",222542,""
"1101",211240,""
"1102",160770,""
"1103",160771,""
"1104",160769,""
"1105",211633,""
"1106",211634,""
"1107",211635,""
"1108",211636,""
"1109",211637,""
"1110",239359,""
"1111",239360,""
"1112",224816,""
"1113",212720,""
"1114",66572,""
"1115",66573,""
"1116",112922,""
"1117",19457,""
"1118",84526,""
"1119",17152,""
"1120",4933,""
"1121",118356,""
"1122",64578,""
"1123",62557,""
"1124",3213,""
"1125",186570,""
"1126",65151,""
"1127",104826,""
"1128",135424,""
"1129",144121,""
"1130",144122,""
"1131",204952,""
"1132",210450,""
"1133",198968,""
"1134",195680,""
"1135",168906,""
"1136",168902,""
"1137",41626,""
"1138",11972,""
"1139",84047,""
"1140",231003,""
"1141",210099,""
"1142",202738,""
"1143",197867,""
"1144",230396,""
"1145",224855,""
"1146",224859,""
"1147",207184,""
"1148",206700,""
"1149",204944,""
"1150",202739,""
"1151",210744,""
"1152",160768,""
"1153",233809,""
"1154",154540,""
"1155",225607,""
"1156",231250,""
"1157",224613,""
"1158",199037,""
"1159",224932,""
"1160",224614,""
"1161",211638,""
"1162",210747,""
"1163",91725,""
"1164",129747,""
"1165",213333,""
"1166",226003,""
"1167",224854,""
"1168",204945,""
"1169",235610,""
"1170",187887,""
"1171",204111,""
"1172",135461,""
"1173",145034,""
"1174",127790,""
"1175",164128,""
"1176",164138,""
"1177",133941,""
"1178",201338,""
"1179",201345,""
"1180",134447,""
"1181",234855,""
"1182",220540,""
"1183",125346,""
"1184",160815,""
"1185",204951,""
"1186",204947,""
"1187",125119,""
"1188",157909,""
"1189",220474,""
"1190",164141,""
"1191",204946,""
"1192",165039,""
"1193",165043,""
"1194",133930,""
"1195",204949,""
"1196",222792,""
"1197",240935,""
"1198",245068,""
"1199",165041,""
"1200",136118,""
"1201",136622,""
"1202",165044,""
"1203",144171,""
"1204",135526,""
"1205",144921,""
"1206",134506,""
"1207",135565,""
"1208",164120,""
"1209",141770,""
"1210",143971,""
"1211",239351,""
"1212",225244,""
"1213",222807,""
"1214",203130,""
"1215",244572,""
"1216",244570,""
"1217",244571,""
"1218",244576,""
"1219",244574,""
"1220",244575,""
"1221",222799,""
"1222",233309,""
"1223",225619,""
"1224",233866,""
"1225",219647,""
"1226",164912,""
"1227",222281,""
"1228",133888,""
"1229",211241,""
"1230",164131,""
"1231",130214,""
"1232",118508,""
"1233",164140,""
"1234",130048,""
"1235",234851,""
"1236",202712,""
"1237",130954,""
"1238",208306,""
"1239",139457,""
"1240",165045,""
"1241",129269,""
"1242",224474,""
"1243",127121,""
"1244",220785,""
"1245",241889,""
"1246",222795,""
"1247",242015,""
"1248",250239,""
"1249",164137,""
"1250",164139,""
"1251",119128,""
"1252",119492,""
"1253",237283,""
"1254",237421,""
"1255",226695,""
"1256",211942,""
"1257",225938,""
"1258",224472,""
"1259",224473,""
"1260",222796,""
"1261",151060,""
"1262",151061,""
"1263",240024,""
"1264",211244,""
"1265",242017,""
"1266",242016,""
"1267",234203,""
"1268",239331,""
"1269",157877,""
"1270",131631,""
"1271",222794,""
"1272",222797,""
"1273",218876,""
"1274",165038,""
"1275",222800,""
"1276",222801,""
"1277",136573,""
"1278",205897,""
"1279",203530,""
"1280",219658,""
"1281",164129,""
"1282",137265,""
"1283",136671,""
"1284",136682,""
"1285",136683,""
"1286",136684,""
"1287",137254,""
"1288",226247,""
"1289",157049,""
"1290",217840,""
"1291",206287,""
"1292",237262,""
"1293",215591,""
"1294",222804,""
"1295",237847,""
"1296",239899,""
"1297",204110,""
"1298",223706,""
"1299",239838,""
"1300",202721,""
"1301",218003,""
"1302",162920,""
"1303",233789,""
"1304",156889,""
"1305",223705,""
"1306",242018,""
"1307",137255,""
"1308",137271,""
"1309",129791,""
"1310",234194,""
"1311",128059,""
"1312",136813,""
"1313",136814,""
"1314",136815,""
"1315",234195,""
"1316",201954,""
"1317",161765,""
"1318",242723,""
"1319",238977,""
"1320",235758,""
"1321",128323,""
"1322",212721,""
"1323",136665,""
"1324",136672,""
"1325",136673,""
"1326",136675,""
"1327",136677,""
"1328",136692,""
"1329",203983,""
"1330",129476,""
"1331",238976,""
"1332",231239,""
"1333",222206,""
"1334",214210,""
"1335",136688,""
"1336",136689,""
"1337",240171,""
"1338",153467,""
"1339",129716,""
"1340",145162,""
"1341",117833,""
"1342",117831,""
"1343",136279,""
"1344",129792,""
"1345",116661,""
"1346",135054,""
"1347",202512,""
"1348",143445,""
"1349",220054,""
"1350",202375,""
"1351",167492,""
"1352",233570,""
"1353",233569,""
"1354",207542,""
"1355",202372,""
"1356",218757,""
"1357",226878,""
"1358",201784,""
"1359",201782,""
"1360",241323,""
"1361",119497,""
"1362",119505,""
"1363",241076,""
"1364",221728,""
"1365",233811,""
"1366",200923,""
"1367",200905,""
"1368",201758,""
"1369",201721,""
"1370",202284,""
"1371",207072,""
"1372",207793,""
"1373",241321,""
"1374",126974,""
"1375",126976,""
"1376",200788,""
"1377",225594,""
"1378",210649,""
"1379",163330,""
"1380",238570,""
"1381",145726,""
"1382",116219,""
"1383",201845,""
"1384",201694,""
"1385",201695,""
"1386",233565,""
"1387",219866,""
"1388",218001,""
"1389",128563,""
"1390",216349,""
"1391",200977,""
"1392",221803,""
"1393",221805,""
"1394",239398,""
"1395",207552,""
"1396",241320,""
"1397",241580,""
"1398",240283,""
"1399",240236,""
"1400",201150,""
"1401",241322,""
"1402",220327,""
"1403",217046,""
"1404",136686,""
"1405",237392,""
"1406",224748,""
"1407",234586,""
"1408",234588,""
"1409",237944,""
"1410",204023,""
"1411",117684,""
"1412",204553,""
"1413",223749,""
"1414",210187,""
"1415",213132,""
"1416",233800,""
"1417",233803,""
"1418",233805,""
"1419",218905,""
"1420",218873,""
"1421",239880,""
"1422",203475,""
"1423",227891,""
"1424",213173,""
"1425",213225,""
"1426",144172,""
"1427",148553,""
"1428",144180,""
"1429",148841,""
"1430",205826,""
"1431",234782,""
"1432",149949,""
"1433",222769,""
"1434",183762,""
"1435",244077,""
"1436",247266,""
"1437",150551,""
"1438",243603,""
"1439",243607,""
"1440",124343,""
"1441",246694,""
"1442",164192,""
"1443",120175,""
"1444",243971,""
"1445",145296,""
"1446",150549,""
"1447",180258,""
"1448",199699,""
"1449",130909,""
"1450",165487,""
"1451",186632,""
"1452",244253,""
"1453",244269,""
"1454",246695,""
"1455",130228,""
"1456",63121,""
"1457",23735,""
"1458",255410,""
"1459",244971,""
"1460",250114,""
"1461",250111,""
"1462",250112,""
"1463",245242,""
"1464",245249,""
"1465",250213,""
"1466",222808,""
"1467",249369,""
"1468",249269,""
"1469",246381,""
"1470",247192,""
"1471",247191,""
"1472",246268,""
"1473",247349,""
"1474",254653,""
"1475",249504,""
"1476",250739,""
"1477",243668,""
"1478",100669,""
"1479",149490,""
"1480",178301,""
"1481",50132,""
"1482",126317,""
"1483",181324,""
"1484",134473,""
"1485",119671,""
"1486",177240,""
"1487",177238,""
"1488",195471,""
"1489",222793,""
"1490",114217,""
"1491",153924,""
"1492",181843,""
"1493",137339,""
"1494",136676,""
"1495",136681,""
"1496",136117,""
"1497",158757,""
"1498",214019,""
"1499",192838,""
"1500",122681,""
"1501",124349,""
"1502",166316,""
"1503",127027,""
"1504",127040,""
"1505",127042,""
"1506",188754,""
"1507",145581,""
"1508",150545,""
"1509",115086,""
"1510",177786,""
"1511",244255,""
"1512",250240,""
"1513",250241,""
"1514",245481,""
"1515",246697,""
"1516",254654,""
"1517",255218,""
"1518",124346,""
"1519",244265,""
"1520",255219,""
"1521",183767,""
"1522",33815,""
"1523",161436,""
"1524",237656,""
"1525",146870,""
"1526",166204,""
"1527",250110,""
"1528",189328,""
"1529",170114,""
"1530",170118,""
"1531",191159,""
"1532",191366,""
"1533",249992,""
"1534",250214,""
"1535",195475,""
"1536",199647,""
"1537",184608,""
"1538",183279,""
"1539",243226,""
"1540",20196,""
"1541",164124,""
"1542",195785,""
"1543",129579,""
"1544",145745,""
"1545",161504,""
"1546",188297,""
"1547",220395,""
"1548",244270,""
"1549",124352,""
"1550",164201,""
"1551",119670,""
"1552",186642,""
"1553",234718,""
"1554",237628,""
"1555",19899,""
"1556",244257,""
"1557",145460,""
"1558",180263,""
"1559",119667,""
"1560",125919,""
"1561",125921,""
"1562",181601,""
"1563",135605,""
"1564",186672,""
"1565",248717,""
"1566",245979,""
"1567",247591,""
"1568",234206,""
"1569",151309,""
"1570",245951,""
"1571",197206,""
"1572",147044,""
"1573",177884,""
"1574",243600,""
"1575",243601,""
"1576",101156,""
"1577",182955,""
"1578",125923,""
"1579",122738,""
"1580",174327,""
"1581",122945,""
"1582",125920,""
"1583",181605,""
"1584",181607,""
"1585",244264,""
"1586",144569,""
"1587",181609,""
"1588",198256,""
"1589",198248,""
"1590",127037,""
"1591",237645,""
"1592",37437,""
"1593",183343,""
"1594",20618,""
"1595",135463,""
"1596",116625,""
"1597",127873,""
"1598",127872,""
"1599",131711,""
"1600",131710,""
"1601",131303,""
"1602",129268,""
"1603",248447,""
"1604",3330,""
"1605",130045,""
"1606",237351,""
"1607",132980,""
"1608",135457,""
"1609",135458,""
"1610",135459,""
"1611",237366,""
"1612",135465,""
"1613",135466,""
"1614",250113,""
"1615",255217,""
"1616",145736,""
"1617",2869,""
"1618",141435,""
"1619",158759,""
"1620",122741,""
"1621",122739,""
"1622",162611,""
"1623",29303,""
"1624",177241,""
"1625",250408,""
"1626",178502,""
"1627",185227,""
"1628",164955,""
"1629",164958,""
"1630",166313,""
"1631",237846,""
"1632",239898,""
"1633",249898,""
"1634",134675,""
"1635",220539,""
"1636",250283,""
"1637",243285,""
"1638",220383,""
"1639",143948,""
"1640",179955,""
"1641",130760,""
"1642",201696,""
"1643",179275,""
"1644",224475,""
"1645",222791,""
"1646",247636,""
"1647",164187,""
"1648",186644,""
"1649",84446,""
"1650",83659,""
