"","barcode","collAbbreviation","collNo_Text","collector_Text","collrTeam_Text","country","county","family","genus","herbariumCode","herbariumDetailsUrl","collectionID","infraspecies","infraspecies_Author1_Text","infraspecies_Author2_Text","photoExists","plantID","rank","species","species_Author1_Text","species_Author2_Text","Continent","Collection.Date","Locality","DetDate_Text","Habitat","RepState1","RepState2","RepState3","RepState4","Type","PlDescr","Frequency","elevL","ElevH","ElevUnits","Endangered","Named_Place","LongDecL","LongDirL","LatDecL","LatDirL","SpecimenImageURL"
"309",13439,"null","7908","Kaul","Party","India","null","Oleaceae","Jasminum","null","null",161285,"null","null","null",TRUE,"1455","null","grandiflorum","L.","null","Asia","04/04/1954","Lucknow; Near Kanoj.","null","null","Flower","null","null","null","null","White flowers, cultivated.","null","null","null","null",FALSE,"null","81","E","26.75","N","https://cdn.plantatlas.org/img/specimens/USF/13439.jpg"
"311",251002,"null","1049","C. vanHoek","B. Wargo","USA","Polk Co.","Oleaceae","Jasminum","null","null",130478,"null","null","null",TRUE,"161","null","multiflorum","Burm. f.","Andrews","North America","02/21/1998","202 South Boulevard ca. 0.25 mi. E of entrance gate; Avon Park AFR. T32S, R29E, Sec. 25, SE¼.","null","Building site.","null","null","null","null","null","Cultivated plant, not naturalized.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/251002.JPG"
"313",21842,"null","8611","Kaul","Party","India","null","Oleaceae","Jasminum","null","null",161290,"null","null","null",TRUE,"1441","null","sambac","L.","Aiton","Asia","04/09/1954","Lucknow; circuit house, Ahmedabad.","null","null","Flower","null","null","null","null","Flowers white, cultivated.","null","null","null","null",FALSE,"null","78.998885","E","28.889833","N","https://cdn.plantatlas.org/img/specimens/USF/21842.jpg"
"315",125747,"null","5681","R. P. Wunderlin","","USA","Brevard Co.","Euphorbiaceae","Jatropha","null","null",128607,"null","null","null",TRUE,"1280","null","curcas","L.","null","North America","10/02/1976","Merritt Island, Dummit Cove, W of FL 3.","31 Aug 2005","null","Fruit","null","null","null","null","Tree to 4 m tall; persistent from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/125747.jpg"
"316",195066,"null","18941","R. A. Howard","E.S. Howard, P.G. Howard","Montserrat","null","Euphorbiaceae","Jatropha","null","null",142263,"null","null","null",TRUE,"1714","null","integerrima","Jacq.","null","West Indies","03/19/1979","Isles Bay area.","30 Aug 2005","null","null","null","null","null","null","Shrub of 12 ft.; leaves dark shiny above; flowers red; cultivated shrubs.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/195066.jpg"
"317",56719,"null","37518","H. E. Ahles","","USA","Cumberland Co.","Juglandaceae","Juglans","null","null",133093,"null","null","null",TRUE,"null","null","cathayensis","Dode","null","North America","10/19/1957","Fayetteville.","null","null","null","null","null","null","null","Cultivated tree.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/56719.jpg"
"318",56720,"null","37518","H. E. Ahles","","USA","Cumberland Co.","Juglandaceae","Juglans","null","null",133094,"null","null","null",TRUE,"null","null","cathayensis","Dode","null","North America","10/19/1957","Fayetteville.","null","null","null","null","null","null","null","Cultivated tree.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/56720.jpg"
"321",210449,"null","4305","D. D. Taylor","D.C. Moore","USA","Union Par.","Cupressaceae","Juniperus","null","null",113245,"null","null","null",TRUE,"3925","null","virginiana","L.","null","North America","07/23/1983","Farmerville; W of intersection of LA 33 and LA 2 along LA 2 at entrance to driveway.","null","Roadside.","Fertile","null","null","null","null","Possibly escaped from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/210449.jpg"
"326",226825,"null","24","S. Myers","","USA","Orange Co.","Sapindaceae","Koelreuteria","null","null",17508,"formosana","Hayata","F. G. Mey.",TRUE,"1692","subsp.","elegans","Seem.","A. C. Sm.","North America","11/17/2000","700 block of North Eckonlockhatchee Trail. T22S, R31E, Sec. 19.","null","Margin of riverine forest.","Fruit","null","null","null","null","Escaped from cultivation.","null","null","null","null",FALSE,"Valencia Community College E Campus","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/226825.jpg"
"330",242968,"null","9391","P. D. Sorensen","","USA","Guilford Co.","Lythraceae","Lagerstroemia","null","null",129869,"null","null","null",TRUE,"1479","null","indica","L.","null","North America","01/04/1994","Bordered by Market Street and Dolley Madison Avenue, Greensboro.","22-Apr-2016","In a townhouse complex.","null","null","null","null","null","Cultivated as landscape plants; shrub, 3.5 m, much branched in upper portion, bark smooth, whitish or chalky gray, flaking on lower parts.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/242968.JPG"
"331",199713,"null","19700","S. R. Hill","","USA","Pickens Co.","Lythraceae","Lagerstroemia","null","null",129861,"null","null","null",TRUE,"1479","null","indica","L.","null","North America","07/24/1988","136 Cedar Creek Circle, Central.","Jul 1988","S side of back yard with pine.","null","null","null","null","null","Cultivated shrub 10 ft. tall, flowers pink, no fragrance.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/199713.JPG"
"333",211673,"null","25690","S. R. Hill","","Dominica","St. George Par.","Lythraceae","Lagerstroemia","null","null",129881,"null","null","null",TRUE,"null","null","speciosa","L.","Pers.","West Indies","05/30/1994","Roseau, Botanic Garden; NW quadrant of gardens.","Jun 1994","null","null","null","null","null","null","Flowers pink; cultivated tree 20 ft. tall.","null","null","null","null",FALSE,"null","-61.3833","W","15.3","N","https://cdn.plantatlas.org/img/specimens/USF/211673.JPG"
"337",15505,"null","848","W. D. Reese","","USA","Franklin Co.","Verbenaceae","Lantana","null","null",64406,"null","null","null",TRUE,"375","null","montevidensis","Spreng.","Briq.","North America","03/11/1956","Apalachicola.","11-Mar-1956","Roadsides.","Fertile","null","null","null","null","Scrambling, viney, sub-shrub; cultivated and escaped.","null","null","null","null",FALSE,"null","-84.983244","W","29.725768","N","https://cdn.plantatlas.org/img/specimens/USF/15505.jpg"
"339",95958,"null","423","R. E. Frenkel","","USA","San Benito Co.","Brassicaceae","Lepidium","null","null",238877,"null","null","null",TRUE,"null","null","draba","L.","null","North America","04/10/1964","Ca. 4 blocks S of Hollister Railroad station.","Mar 2007","On W side of railroad tracks along railroad right of way.","Flower","null","null","null","null","Plants also seen in 1963 in a well established colony, partially resisting narrow cultivation in several patches.","null","300","null","ft",FALSE,"null","-121.401602","W","36.852454","N","https://cdn.plantatlas.org/img/specimens/USF/95958.jpg"
"340",235109,"null","CI0137","C. vanHoek","B. Wargo","USA","Pinellas Co.","Fabaceae","Leucaena","null","null",3227,"null","null","null",TRUE,"1397","null","leucocephala","Lam.","de Wit","North America","01/26/2002","At site of Scharrer homestead.  T28S, R15E, Sec. 29.","2002","Ruderal.","Fruit","null","null","null","null","Native to West Indes, escaped from cultivation.","null","null","null","null",FALSE,"Caladesi Island State Park","-80.477557","W","25.468722","N","https://cdn.plantatlas.org/img/specimens/USF/235109.jpg"
"343",124152,"null","254","C. Hebert","","USA","East Baton Rouge Par.","Magnoliaceae","Liriodendron","null","null",147208,"null","null","null",TRUE,"3670","null","tulipifera","L.","null","North America","04/11/1976","Louisiana State University Campus; Baton Rouge.","null","null","Flower","null","null","null","null","Occasional; may be cultivated.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/124152.JPG"
"346",131266,"null","1140","J. C. Semple","K. Semple, C. Toplack","Canada","null","Brassicaceae","Lunaria","null","null",239069,"null","null","null",TRUE,"null","null","annua","L.","null","North America","05/14/1975","Route 21, NE of Rondeau Park.","null","Side of road next to park lake.","Flower","Bud","null","null","null","Escaped cultivar; purple petals and calyx.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/131266.jpg"
"359",196533,"null","13527","S. R. Hill","","USA","null","Malvaceae","Malvastrum","null","null",225311,"null","null","null",TRUE,"null","null","scoparioides","Ulbr.","null","North America","04/05/1984","Department of Botany greenhouses, University of Maryland, College Park.","null","null","Flower","null","null","null","null","Flowers pale-orange; cultivated shrubby herb 2 m tall, seeds originally from Lopez and Sagastegui 8020, Otuzco, Peru.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/196533.jpg"
"360",217585,"null","345","B. E. Dutton","D. D. Taylor","USA","Cameron Par.","Malvaceae","Malvaviscus","null","null",172987,"null","null","null",TRUE,"null","null","drummondii","Torr.","A. Gray","North America","09/03/1983","Along LA 27, Hackberry; 2.2 mi. N of junction LA 27 and LA 390. T12S, R10W, Sec. 37.","null","In ditch.","Flower","null","null","null","null","Escape from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/217585.JPG"
"362",211728,"null","25649","S. R. Hill","","Dominica","null","Clusiaceae","Mammea","null","null",129490,"null","null","null",TRUE,"null","null","americana","L.","null","West Indies","05/29/1994","Archbold Tropical Research Center, Springfield Estate, vicinity of Mount Joy house.","Jun 1994","null","null","null","null","null","null","Fruits brown, orange inside, edible, sweet; cultivated tree ca. 50 ft. tall.","null","1500","null","ft",FALSE,"null","-61.37222222","W","15.34166667","N","https://cdn.plantatlas.org/img/specimens/USF/211728.JPG"
"363",118915,"null","M0602","A. G. Shuey","","USA","Brevard Co.","Anacardiaceae","Mangifera","null","null",128983,"null","null","null",TRUE,"1477","null","indica","L.","null","North America","s.d.","N Merritt's Island, Orange Grove growing on side of FL 3, 0.5 mi. N of junction of FL 3 and FL 406. T21S, R36E, Sec. 4.","null","Ruderal.","null","null","null","null","null","Persisting from cultivation.","null","null","null","null",FALSE,"null","-81.2833","W","28.45","N","https://cdn.plantatlas.org/img/specimens/USF/118915.jpg"
"365",211820,"null","25442","S. R. Hill","D. Bradshaw, I. Renne","Dominica","St. Joseph Par.","Anacardiaceae","Mangifera","null","null",128991,"null","null","null",TRUE,"1477","null","indica","L.","null","West Indies","12/13/1993","Lesser Antilles; Mero, road through sugar cane field, ca. 3.2 km N of Saint Joseph.","Feb 1994","null","null","null","null","null","null","Large cultivated tree ca. 40 ft. tall and 50 ft. wide.","null","null","null","null",FALSE,"null","-71.216667","W","19.383333","N","https://cdn.plantatlas.org/img/specimens/USF/211820.jpg"
"366",143132,"null","9362","W. C. Brumbach","","USA","Lee Co.","Sapotaceae","Manilkara","null","null",130394,"null","null","null",TRUE,"214","null","zapota","L.","P. Royen","North America","04/09/1978","null","null","null","null","null","null","null","null","Persisting from cultivation; a dense tree 8 m tall, 1.5 dm diameter; leaves clustered at ends of branches.","null","null","null","null",FALSE,"Central Sanibel [Island]","-82.022314","W","26.44897","N","https://cdn.plantatlas.org/img/specimens/USF/143132.JPG"
"367",242904,"null","667","C. C. Jacono","null","USA","Brevard Co.","Marsileaceae","Marsilea","null","null",61948,"null","null","null",TRUE,"1475","null","minuta","L.","null","North America","06/09/2006","South Central Wastewater Treatment Plant.","2010","In a constructed treatment wetland.","Fertile","null","null","null","null","Cultivated in a greenhouse at USGS, Gainesville, from a cutting from a small population; internodal roots one; leaf margins crenate; peduncle attached at rhizome; sporocarp mean (n=6) width 4.3 mm, height 3.45 mm, distal tooth height 0.43 mm.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/242904.jpg"
"370",223368,"null","14","K. A. Bradley","S. Woodmansee, T. Pernas","USA","Collier Co.","Myrtaceae","Melaleuca","null","null",27896,"null","null","null",TRUE,"40","null","viminalis","Sol. ex Gaertn.","Byrnes","North America","04/03/1997","Ca. 1.65 mi. N of !-75, ca. 12.4 mi. E of Turner River Road, ca. 10.75 mi. W of L-28 Interceptor canal.","May 2011","Along edge of dirt road and in undisturbed marl prairie.","Flower","null","null","null","null","Many young plants recruiting from a large, cultivated plant nearby. Naturalized.","null","null","null","null",FALSE,"Big Cypress National Preserve Addition","-81.06722222","W","26.1925","N","https://cdn.plantatlas.org/img/specimens/USF/223368.jpg"
"373",218767,"null","28015","S. R. Hill","null","Dominica","St. Joseph Par.","Sapindaceae","Melicoccus","null","null",142602,"null","null","null",TRUE,"1529","null","bijugatus","Jacq.","null","West Indies","05/29/1996","Coastal highway, N of St. Joseph; at roadside.","Oct 1996","null","null","null","null","null","null","Fruits green; cultivated tree 25-30 ft. tall; fruit pulp sour when ripe, edible.","null","200","null","ft",FALSE,"null","-61.43333333","W","15.41111111","N","https://cdn.plantatlas.org/img/specimens/USF/218767.JPG"
"375",221615,"null","452","C. E. Nauman","null","USA","Broward Co.","Polypodiaceae","Microsorum","null","null",107389,"null","null","null",TRUE,"null","null","punctatum","L.","Copel.","North America","10/24/1978","1031 NE 23rd Place, Pompano Beach.","null","null","Fertile","null","null","null","null","Cultivar Grandiceps; source in S Broward.","null","null","null","null",FALSE,"null","-80.1167","W","26.2333","N","https://cdn.plantatlas.org/img/specimens/USF/221615.jpg"
"376",221616,"null","460","C. E. Nauman","null","USA","Broward Co.","Polypodiaceae","Microsorum","null","null",107387,"null","null","null",TRUE,"null","null","punctatum","Blume","Copel.","North America","10/24/1978","1031 NE 23rd Place, Pompano Beach.","null","null","null","null","null","null","null","Cultivar Grandiceps; source in S Broward.","null","null","null","null",FALSE,"null","-80.1167","W","26.2333","N","https://cdn.plantatlas.org/img/specimens/USF/221616.jpg"
"377",127537,"null","E250","J. Murray","null","USA","Hillsborough Co.","Polypodiaceae","Microsorum","null","null",107388,"null","null","null",TRUE,"null","null","punctatum","L.","Copel.","North America","Apr-May 1977","null","null","null","null","null","null","null","null","Cultivar Grandiceps.","null","null","null","null",FALSE,"University of South Florida Botanical Gardens","-82","W","28","N","https://cdn.plantatlas.org/img/specimens/USF/127537.jpg"
"380",66372,"null","s.n.","D. B. Ward","","USA","Alachua Co.","Myricaceae","Morella","null","null",117998,"null","null","null",TRUE,"null","null","rubra","Lour.","null","North America","04/24/1965","W side of McCarty Library, Gainesville.","03-Apr-2018","null","Fertile","null","null","null","null","Cultivated shrub to 3 m.","null","null","null","null",FALSE,"University of Florida","-82.325","W","29.65139","N","https://cdn.plantatlas.org/img/specimens/USF/66372.jpg"
"382",63635,"null","4438","D. B. Ward","E.S. Ford, I. Wiggins","USA","Citrus Co.","Moraceae","Morus","null","null",118801,"null","null","null",TRUE,"1357","null","alba","L.","null","North America","03/20/1965","Fowler's Island; S end of Lake Tsala Apopka. T20S, R20E, Sec. 12.","14-Dec-2015","Near old homesite.","null","null","null","null","null","Solitary tree; probable survivor of cultivation.","null","null","null","null",FALSE,"null","-81.509516","W","28.680553","N","https://cdn.plantatlas.org/img/specimens/USF/63635.jpg"
"384",137141,"null","6185","R. P. Wunderlin","A. Arcuri, B. Hansen","USA","Lee Co.","Moraceae","Morus","null","null",118799,"null","null","null",TRUE,"1357","null","alba","L.","null","North America","10/28/1978","Sanibel Island; 0.6 mi. W of Tarpon Bay Road on Sanibel-Captiva Road.","null","Abandoned homesite.","null","null","null","null","null","Persistent from cultivation.","null","null","null","null",FALSE,"J.N. ""Ding"" Darling National Wildlife Refuge","-82.189261","W","26.522023","N","https://cdn.plantatlas.org/img/specimens/USF/137141.jpg"
"386",135407,"null","9213","W. C. Brumbach","","USA","Lee Co.","Moraceae","Morus","null","null",25013,"null","null","null",TRUE,"1357","null","alba","L.","null","North America","04/13/1977","Middle Captiva Island.","null","null","Immature Fruit","Fruit","null","null","null","An escape from cultivation; sprawling over an abandoned out-building. A tree 5 m tall, of loose habit; fruit black when ripe.","null","null","null","null",FALSE,"null","-82.189261","W","26.522023","N","https://cdn.plantatlas.org/img/specimens/USF/135407.jpg"
"388",253876,"null","s.n.","K. Nolte","","USA","Hendry Co.","Rutaceae","Murraya","null","null",128401,"null","null","null",TRUE,"184","null","paniculata","L.","Jack","North America","Apr 2010","Old homesite, Dinner Island Ranch.","null","null","null","null","null","null","null","Persistent from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/253876.jpg"
"390",226968,"null","1","S. Myers","","USA","Orange Co.","Musaceae","Musa","null","null",25202,"null","null","null",TRUE,"1488","null","x paradisiaca","L.","null","North America","11/01/2000","700 block of North Econlockhatchee Trail, ca. 10 mi. E of Orlando. T22S, R31E, Sec. 19.","null","Edge of riverine forest.","null","null","null","null","null","Escaped from cultivation.","null","null","null","null",FALSE,"Valencia Community College East Campus","-81.1167","W","28.3833","N","https://cdn.plantatlas.org/img/specimens/USF/226968.jpg"
"391",199808,"null","19060","S. R. Hill","","USA","Pickens Co.","Berberidaceae","Nandina","null","null",119525,"null","null","null",TRUE,"1548","null","domestica","Thunb.","null","North America","03/20/1988","At Long Hall; Clemson.","March 1988","null","Fruit","null","null","null","null","Fruits red, pendulous; frequent cultivated evergreen shrub 4-6 ft. tall.","null","null","null","null",FALSE,"Clemson University campus","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/199808.jpg"
"392",203620,"null","71160","H. J. Wiehler","Dressler","Panama","null","Gesneriaceae","Nautilocalyx","null","null",5666,"null","null","null",TRUE,"null","null","colombianus","Wiehler","null","Central America","08/10/1971","Rio Guanche SSW Portobello.","null","null","Flower","null","null","null","Isotype","Specimen made from type plant cultivated in Selby Gardens greenhouses; = [SEL] W-1509 cult. 1 Jul 1973..","null","null","null","null",FALSE,"null","-79.6167","W","9.55","N","https://cdn.plantatlas.org/img/specimens/USF/203620.jpg"
"394",206386,"null","219","W. Hoehne","","Brazil","null","Nephrolepidaceae","Nephrolepis","null","null",185193,"null","null","null",TRUE,"2809","null","exaltata","L.","Schott","South America","04/24/1933","Capital de São Paulo.","null","null","Fertile","null","null","null","null","Cultivada ornamental.","null","null","null","null",FALSE,"null","-43.239444","W","-3.960556","S","https://cdn.plantatlas.org/img/specimens/USF/206386.jpg"
"396",191259,"null","1201","J. Popenoe","","USA","Martin Co.","Nephrolepidaceae","Nephrolepis","null","null",18149,"null","null","null",TRUE,"1637","null","falcata","Cav.","C. Chr.","North America","02/26/1978","Along the Loxahatchee River near the Audubon Landing.","null","null","null","null","null","null","null","Many clumps, persisting from or escaped from cultivation.","null","null","null","null",FALSE,"Jonathan Dickinson State Park","-80.2667","W","26.6833","N","https://cdn.plantatlas.org/img/specimens/USF/191259.jpg"
"397",213921,"null","12848","B. F. Hansen","R.P. Wunderlin","USA","Hillsborough Co.","Apocynaceae","Nerium","null","null",94462,"null","null","null",TRUE,"1725","null","oleander","L.","null","North America","04/20/1995","Along N side of FL 674, 5.4 mi. E of Wimauma.  T32S, R21E, Sec. 10, SW¼.","null","Roadside thicket.","Flower","null","null","null","null","Single shrub 2 m tall, apparently a legitimate escape, not cultivated.","null","null","null","null",FALSE,"null","-82.29898","W","27.712531","N","https://cdn.plantatlas.org/img/specimens/USF/213921.jpg"
"398",212944,"null","25913","S. R. Hill","","USA","Pickens Co.","Ranunculaceae","Nigella","null","null",119502,"null","null","null",TRUE,"null","null","damascena","L.","null","North America","07/10/1994","156 Cedar Creek Circle, Central.","July 1994","Front garden.","Fruit","null","null","null","null","Fruits inflated; persistent from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/212944.jpg"
"402",122851,"null","s.n.","A. G. Shuey","","USA","Brevard Co.","Oleaceae","Olea","null","null",130543,"null","null","null",TRUE,"null","null","europaea","L.","null","North America","07/13/1973","SW Cape Canaveral; near former homesite SW of the Indian Mound cemetary.","null","Growing in dry, sandy soil.","null","null","null","null","null","Persisting from cultivation.","null","null","null","null",FALSE,"null","-80.537272","W","28.471111","N","https://cdn.plantatlas.org/img/specimens/USF/122851.JPG"
"403",29284,"null","1.792","M. Stern","","Brazil","null","Orchidaceae","Oncidium","null","null",161466,"null","null","null",TRUE,"null","null","baueri","Lindl.","null","South America","11/20/1952","null","null","null","Flower","null","null","null","null","Floruit in cultivation.","null","null","null","null",FALSE,"null","-43.172896","W","-22.906847","S","https://cdn.plantatlas.org/img/specimens/USF/29284.jpg"
"404",83302,"null","s.n.","R. Vagner","","USA","Miami-Dade Co.","Orchidaceae","Oncidium","null","null",6317,"null","null","null",TRUE,"702","null","ensatum","Lindl.","null","North America","06/19/1968","Contact USF Herbarium if additional information is required","1997","Hammocks.","Flower","null","null","null","null","Cultivated in greenhouse; pressed for Herbarium of University of South Florida.","null","null","null","null",TRUE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/83302.jpg"
"405",30820,"null","9026","P. Dusén","","Brazil","null","Orchidaceae","Oncidium","null","null",161306,"null","null","null",TRUE,"null","null","longicornu","Mutel","null","South America","12/06/1909","Itaperussii, in trune. arb.","null","null","Flower","null","null","null","null","Cultivated flowers.","null","null","null","null",FALSE,"null","-43.016667","W","-5.466667","S","https://cdn.plantatlas.org/img/specimens/USF/30820.jpg"
"407",30816,"null","1.767","Collector Unspecified on Label","","Brazil","null","Orchidaceae","Oncidium","null","null",161313,"null","null","null",TRUE,"null","null","marshallianum","Rchb. f.","null","South America","10/20/1952","Prope Friburgo.","null","null","Flower","null","null","null","null","Flowers cultivated.","null","null","null","null",FALSE,"null","-70.75","W","-8.016667","S","https://cdn.plantatlas.org/img/specimens/USF/30816.jpg"
"408",28943,"null","s.n.","A. Carvalho","","Brazil","null","Orchidaceae","Oncidium","null","null",161319,"null","null","null",TRUE,"null","null","nitidum","Barb. Rodr.","null","South America","09/20/1952","Serra do Gericinó.","20 Sep 1952","null","null","null","null","null","null","Flowered in cultivation.","null","null","null","null",FALSE,"null","-43.69","W","-22.607778","S","https://cdn.plantatlas.org/img/specimens/USF/28943.jpg"
"409",28951,"null","16074","P. Dusén","","Brazil","null","Orchidaceae","Oncidium","null","null",161335,"null","null","null",TRUE,"null","null","praetextum","Rchb. f.","null","South America","12/02/1914","Jaguaria hyra, in sihmla ad tune arb.","null","null","Flower","null","null","null","null","Cultivated flowers.","null","null","null","null",FALSE,"null","-54.648638","W","-29.455846","S","https://cdn.plantatlas.org/img/specimens/USF/28951.jpg"
"410",29285,"null","419/796","G. J. F. Pabst","","Brazil","null","Orchidaceae","Oncidium","null","null",161330,"null","null","null",TRUE,"null","null","psyche","Schltr.","null","South America","10/16/1949","Prope Areal; in insulam fluminis Piabanha.","null","null","Flower","null","null","null","null","Epiphytica; florit in cultivation.","null","500","null","m",FALSE,"null","-43.129884","W","-22.230503","S","https://cdn.plantatlas.org/img/specimens/USF/29285.jpg"
"411",28957,"null","14437","P. Dusén","","Brazil","null","Orchidaceae","Oncidium","null","null",161336,"null","null","null",TRUE,"null","null","pulvinatum","Lindl.","null","South America","12/25/1913","Terrinha, in sihula, ad truneos arb.","null","null","Flower","null","null","null","null","Flowers cultivated.","null","840","null","m",FALSE,"null","-43.3","W","-11.5","S","https://cdn.plantatlas.org/img/specimens/USF/28957.jpg"
"412",242263,"null","s.n.","S. Dickman","","USA","Hillsborough Co.","Cactaceae","Opuntia","null","null",129743,"null","null","null",TRUE,"212","null","cochenillifera","L.","Mill.","North America","01/26/2006","""The Kitchen"" Nature Preserve, 0.3 mi. W of US 41 on Isabel Avenue, ca. 1.5 mi. SSW of Gibsonton. T30S, R19E, Sec. 34.","null","null","null","null","null","null","null","Single individual persistent from cultivation.","null","null","null","null",FALSE,"null","-82.382593","W","27.853636","N","https://cdn.plantatlas.org/img/specimens/USF/242263.JPG"
"414",28869,"null","11582","P. Dusén","","Brazil","null","Orchidaceae","Ornithophora","null","null",162825,"null","null","null",TRUE,"null","null","radicans","Rchb. f.","Garay & Pabst","South America","03/20/1911","Porta Dom Pacho II.","null","In silva grim.","Flower","null","null","null","null","Cultivated.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/28869.jpg"
"416",190899,"null","1942","V. I. Sullivan","","USA","Iberia Par.","Rubiaceae","Paederia","null","null",44062,"null","null","null",TRUE,"1466","null","foetida","L.","null","North America","Sep 1986","Jungle Gardens on Avery Island.","1986","null","Flower","Fruit","null","null","null","Abundant sprawling along ground in open areas and growing over cultivated bamboos, camellias, etc.; corollas dark purplish red within; fruits nearly globose.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/190899.jpg"
"418",27957,"null","2378","See comments","","null","null","Orchidaceae","Paphiopedilum","null","null",162879,"null","null","null",TRUE,"null","null","sp.","null","null","Unknown","02/20/1953","null","null","null","Flower","null","null","null","null","Cultivated.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/27957.jpg"
"419",203622,"null","71158","H. J. Wiehler","Dressler","Panama","null","Gesneriaceae","Paradrymonia","null","null",5665,"null","null","null",TRUE,"null","null","flava","Wiehler","null","Central America","08/10/1971","Rio Guanche near Portobello.","null","null","null","null","null","null","Isotype","Specimen made from type plant cultivated in Selby Gardens greenhouses; = [SEL] W-1745 cult. 21 June 1980.","null","null","null","null",FALSE,"null","-79.6167","W","9.55","N","https://cdn.plantatlas.org/img/specimens/USF/203622.jpg"
"422",88034,"null","31938","O. K. Lakela","","USA","Miami-Dade Co.","Poaceae","Paspalum","null","null",46778,"null","null","null",TRUE,"1367","null","fimbriatum","Kunth","null","North America","Oct 27-28-69","South Miami off US 1; vicinity of Sunset Drive.","1994","Remnants of original pinelands.","Fertile","null","null","null","null","Introduced cultigens.","null","null","null","null",FALSE,"null","-80.352275","W","25.705935","N","https://cdn.plantatlas.org/img/specimens/USF/88034.jpg"
"423",15931,"null","9383","J. D. Ray, Jr.","","USA","Hernando Co.","Poaceae","Paspalum","null","null",11146,"saurae","Parodi","null",TRUE,"1301","var.","notatum","Flüggé","null","North America","09/03/1959","Chinsegut Hill Refuge.","1994","Wood trail in mature pine wood, weedy hardwood understory.","Fertile","null","null","null","null","Cultivated and escaped.","Abundant","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/15931.jpg"
"433",220830,"null","s.d.","W. Miley","","USA","Hillsborough Co.","Cactaceae","Pereskia","null","null",24031,"null","null","null",TRUE,"1384","null","grandifolia","Haw.","null","North America","Apr 1997","Miley Road, Plant City.","null","null","Flower","null","null","null","null","Escaped from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/220830.jpg"
"438",193209,"null","29315","T. A. Zanoni","J. Pimentel & R. García","Dominican Republic","null","Lauraceae","Persea","null","null",140662,"null","null","null",TRUE,"443","null","americana","Mill.","null","West Indies","03/20/1984","Península de Samaná; en la parte nordeste de la península; Loma El Frontón y cercania.","null","De roca caliza, bosque latifoliado; disturbado de vegetación terciaria.","Flower","null","null","null","null","Arbol 7 m; flor amarilla; no cultivado.","null","40","256","m",FALSE,"null","-69.16666667","W","19.28333333","N","https://cdn.plantatlas.org/img/specimens/USF/193209.JPG"
"439",27015,"null","s.n.","Collector Unspecified on Label","","null","null","Orchidaceae","Phalaenopsis","null","null",163020,"null","null","null",TRUE,"null","null","stuartiana","Rchb. f.","null","Unknown","Mar 1957","null","null","null","Flower","null","null","null","null","From cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/27015.jpg"
"440",112033,"null","11493","W. T. Gillis","null","USA","Miami-Dade Co.","Fabaceae","Phanera","null","null",58535,"null","null","null",TRUE,"4353","null","yunnanensis","Franch.","Wunderlin","North America","08/24/1972","Plant Introduction Station, Miami.","May 2011","null","Flower","Fruit","null","null","null","Introduced from cultivation in the Bahama Islands; scrambling vine; flowers pink.","null","null","null","null",FALSE,"null","-80.193659","W","25.774266","N","https://cdn.plantatlas.org/img/specimens/USF/112033.jpg"
